Empresa	ICO	ICK
A	57,74	68,76
A	50,21	66,49
A	58,59	64,38
A	56,38	65,77
A	59,33	65,89
A	54,65	68,28
A	57,27	65,73
A	56,39	68,40
A	53,32	67,12
A	62,63	67,34
A	53,94	67,52
A	59,05	66,65
A	58,58	67,08
A	71,24	65,10
A	71,90	69,25
A	63,86	69,19
A	64,74	66,80
A	68,80	66,72
A	53,21	70,27
A	63,43	68,52
A	100,75	36,11
A	31,97	71,27
A	33,72	71,03
A	55,92	69,76
A	69,03	66,61
A	55,44	75,55
A	46,32	79,97
A	55,86	80,54
A	58,84	74,01
A	57,45	74,10
A	70,83	69,95
A	58,65	68,28
A	63,27	69,52
A	56,30	69,53
A	54,01	69,24
A	55,13	70,95
A	43,83	71,85
A	39,25	75,77
A	28,26	96,58
A	26,14	97,73
A	18,49	98,10
A	21,43	96,35
A	18,93	96,70
A	11,44	97,42
A	11,71	97,63
A	8,03	97,74
A	7,27	97,56
A	1,73	97,42
A	3,71	97,04
A	2,43	97,09
A	1,12	97,39
A	3,93	97,48
A	4,04	95,73
A	4,07	96,66
A	2,19	98,04
A	2,86	97,68
A	3,52	97,60
A	2,66	98,26
A	3,05	98,01
A	2,80	97,94
A	2,66	98,17
A	5,98	96,65
A	7,60	90,19
A	22,06	95,72
A	19,67	94,37
A	24,13	96,82
A	24,27	97,74
A	21,33	97,52
A	21,86	97,77
A	31,55	96,75
A	33,22	96,49
A	22,46	95,61
A	23,41	96,47
A	21,89	94,35
A	26,86	94,46
A	26,59	94,23
A	21,02	93,03
A	18,80	95,02
A	13,67	98,63
A	16,85	99,00
A	19,90	99,12
A	15,35	98,90
A	17,69	98,70
A	25,98	98,69
A	22,92	98,36
A	21,88	98,08
A	17,11	97,16
A	24,84	97,13
A	19,39	97,12
A	15,61	96,28
A	15,49	96,82
A	15,60	98,30
A	12,91	97,50
A	13,37	97,02
A	18,43	97,28
A	9,02	96,99
A	8,30	96,50
A	2,37	97,66
A	1,83	97,14
A	2,51	96,16
A	3,64	96,23
A	2,78	95,13
A	3,56	95,29
A	5,11	95,63
B	45,93	68,71
B	40,71	69,86
B	27,94	68,50
B	31,40	68,75
B	34,50	68,02
B	34,00	71,37
B	39,23	69,46
B	37,23	72,47
B	43,75	69,46
B	33,12	70,73
B	55,51	69,41
B	46,76	70,43
B	44,20	69,85
B	38,35	67,04
B	39,96	71,32
B	35,50	70,24
B	32,51	67,60
B	27,35	68,65
B	18,27	72,43
B	35,05	70,59
B	59,90	38,35
B	35,40	73,05
B	22,09	73,94
B	40,81	74,32
B	29,93	73,55
B	26,33	83,17
B	22,49	85,21
B	26,96	89,37
B	28,21	79,68
B	33,02	78,53
B	28,96	71,48
B	24,23	71,59
B	20,96	76,81
B	23,05	77,57
B	27,91	75,22
B	20,22	76,87
B	25,34	81,09
B	21,40	86,17
B	17,89	91,28
B	26,00	93,34
B	7,72	94,91
B	13,42	91,75
B	15,62	91,80
B	13,15	96,69
B	6,74	96,67
B	6,23	97,41
B	2,57	96,72
B	1,76	96,27
B	1,40	95,06
B	1,05	95,07
B	1,11	96,46
B	1,72	96,33
B	1,86	95,24
B	1,83	95,22
B	2,56	92,95
B	1,92	96,22
B	3,23	95,12
B	1,44	98,31
B	1,09	97,66
B	2,52	97,35
B	3,98	98,07
B	5,91	96,94
B	6,37	91,38
B	18,46	95,05
B	18,66	93,06
B	15,19	94,89
B	15,02	95,39
B	21,42	96,05
B	28,15	96,27
B	32,90	92,48
B	26,02	92,56
B	42,32	91,00
B	30,66	93,46
B	20,39	92,23
B	29,24	93,75
B	37,22	92,00
B	24,57	90,66
B	18,33	90,42
B	34,87	96,05
B	34,32	97,59
B	37,73	98,23
B	17,26	97,76
B	19,48	97,47
B	15,27	97,30
B	18,79	96,99
B	13,52	97,17
B	18,18	96,55
B	15,04	96,10
B	11,64	96,37
B	20,05	95,27
B	23,38	94,98
B	12,08	97,17
B	10,89	94,96
B	8,76	95,23
B	16,26	94,97
B	10,53	95,07
B	4,71	89,15
B	0,58	92,50
B	0,34	95,58
B	4,19	92,95
B	1,81	91,14
B	1,19	94,55
B	1,18	94,41
B	4,02	95,01
C	24,94	84,49
C	25,01	84,31
C	16,31	79,23
C	17,77	80,22
C	22,95	80,85
C	25,84	82,88
C	25,62	81,43
C	24,01	83,31
C	31,65	82,77
C	24,34	81,37
C	27,68	82,25
C	33,03	82,20
C	30,78	82,63
C	31,19	78,19
C	28,09	81,72
C	27,47	83,21
C	39,41	79,56
C	18,35	79,41
C	18,59	82,67
C	24,49	79,73
C	25,76	43,66
C	13,94	84,80
C	17,64	81,64
C	13,59	81,46
C	25,82	77,44
C	17,19	82,85
C	19,83	90,24
C	28,25	91,35
C	22,62	87,43
C	20,53	86,39
C	23,14	76,61
C	21,45	76,30
C	29,17	76,64
C	26,41	77,48
C	34,45	77,05
C	23,51	78,57
C	30,64	81,24
C	20,71	86,87
C	11,67	97,72
C	12,98	98,14
C	18,10	98,35
C	10,84	97,73
C	15,14	98,23
C	10,40	98,77
C	12,70	98,46
C	15,91	98,70
C	10,79	98,57
C	0,57	98,59
C	1,61	97,79
C	1,93	97,75
C	1,05	96,67
C	2,32	97,46
C	3,89	95,84
C	4,96	95,04
C	3,77	97,38
C	4,42	97,11
C	5,05	97,40
C	5,61	98,64
C	3,09	98,20
C	2,67	97,17
C	3,43	97,64
C	5,18	94,95
C	5,56	90,50
C	19,20	92,16
C	21,93	94,38
C	30,79	90,61
C	31,83	92,13
C	27,34	92,18
C	34,44	92,03
C	22,22	90,77
C	15,90	92,21
C	22,76	90,47
C	25,01	94,32
C	24,37	94,51
C	19,80	94,62
C	31,84	94,76
C	36,76	92,48
C	20,24	90,93
C	26,69	96,47
C	30,82	98,19
C	21,83	98,42
C	27,21	98,04
C	22,37	97,70
C	27,36	97,08
C	27,92	96,18
C	24,03	96,45
C	25,79	93,68
C	20,59	92,62
C	24,57	89,23
C	25,01	86,12
C	16,02	88,10
C	20,12	89,82
C	16,50	87,62
C	17,78	90,98
C	18,95	91,87
C	39,03	90,64
C	19,72	91,48
C	4,09	91,24
C	1,68	91,50
C	0,81	88,91
C	3,67	87,79
C	2,31	89,73
C	2,65	90,59
C	7,70	92,33
D	18,94	97,44
D	18,56	98,15
D	21,02	96,38
D	14,23	97,94
D	18,18	97,69
D	18,85	97,54
D	19,03	96,22
D	16,10	96,88
D	16,98	97,06
D	19,14	97,15
D	16,71	97,47
D	16,57	96,17
D	19,51	95,69
D	19,76	92,76
D	21,56	95,78
D	20,67	94,34
D	25,23	93,66
D	15,65	93,20
D	20,62	93,00
D	30,28	91,70
D	34,22	49,97
D	15,12	93,50
D	15,81	90,71
D	24,91	90,39
D	26,25	86,26
D	19,43	90,83
D	15,79	96,89
D	17,10	97,53
D	21,10	95,81
D	25,08	95,82
D	18,68	94,53
D	19,14	93,88
D	19,31	95,47
D	16,43	96,27
D	25,65	93,05
D	19,64	92,60
D	17,58	95,94
D	15,18	95,39
D	15,64	98,74
D	13,78	99,14
D	14,42	99,20
D	17,45	94,46
D	17,72	99,04
D	13,09	99,08
D	6,01	99,23
D	6,52	99,25
D	5,68	99,25
D	0,72	98,98
D	2,01	98,74
D	0,48	98,34
D	0,21	98,14
D	1,32	98,79
D	1,58	97,86
D	5,46	97,94
D	2,55	97,96
D	3,94	97,83
D	2,14	99,09
D	4,03	99,01
D	3,08	98,70
D	3,78	98,31
D	4,26	98,87
D	3,97	97,89
D	9,26	93,28
D	25,44	97,21
D	20,83	96,37
D	21,53	97,69
D	26,62	97,86
D	24,77	97,23
D	19,65	97,01
D	18,90	96,69
D	18,22	96,75
D	18,72	96,77
D	19,76	96,37
D	18,26	95,45
D	14,53	97,05
D	14,37	96,80
D	16,99	96,15
D	22,72	94,05
D	18,74	97,19
D	16,23	99,01
D	16,78	98,99
D	15,84	99,07
D	15,47	98,61
D	13,50	98,40
D	16,44	98,62
D	19,43	98,77
D	17,86	98,16
D	21,46	98,17
D	20,04	98,04
D	20,93	96,93
D	20,19	97,20
D	19,39	97,20
D	18,02	97,66
D	12,52	97,46
D	14,20	97,60
D	12,99	96,24
D	7,25	95,30
D	1,72	96,20
D	2,12	96,94
D	3,18	97,15
D	2,18	94,63
D	2,92	94,63
D	5,33	95,14
D	3,12	96,65
E	45,22	62,54
E	32,38	61,53
E	37,36	60,41
E	41,98	57,03
E	43,26	55,10
E	55,80	53,79
E	49,40	50,21
E	47,89	50,47
E	32,51	56,05
E	59,73	55,61
E	47,12	56,41
E	67,96	50,56
E	65,43	56,26
E	67,05	57,12
E	53,96	60,42
E	72,23	60,74
E	74,03	56,72
E	52,58	57,76
E	43,99	61,11
E	64,32	57,69
E	90,66	32,44
E	30,24	61,30
E	39,01	63,03
E	47,94	63,04
E	51,70	59,45
E	39,99	69,93
E	34,26	78,51
E	38,99	79,40
E	38,90	70,77
E	33,75	70,77
E	29,38	64,01
E	42,52	64,84
E	43,42	65,43
E	37,30	66,34
E	42,10	63,61
E	33,94	64,53
